в, PREP: 4538
навоз, NOUN: 79
подкормка, NOUN: 79
добрый, ADJF: 79
балкон, NOUN: 79
раствор, NOUN: 79
овощ, NOUN: 79
стал, VERB: 79
условие, NOUN: 78
яйцо, NOUN: 78
результат, NOUN: 78
саженец, NOUN: 77
сорняк, NOUN: 77
культура, NOUN: 76
сказать, INFN: 76
магазин, NOUN: 76
тема, NOUN: 75
фотография, NOUN: 75
солнце, NOUN: 75
вредитель, NOUN: 75
луковица, NOUN: 75
поливаю, VERB: 75
качество, NOUN: 75
цветок, NOUN: 74
друг, NOUN: 73
уход, NOUN: 72
пробую, VERB: 72
лето, NOUN: 71
вода, NOUN: 71
яблоня, NOUN: 71
полностью, ADVB: 71
появился, VERB: 70
взял, VERB: 70
цветение, NOUN: 69
раньше, COMP: 69
сезон, NOUN: 69
полезный, ADJF: 69
сажаю, VERB: 69
цена, NOUN: 68
труба, NOUN: 68
снег, NOUN: 68
либо, CONJ: 67
сайт, NOUN: 67
посоветовал, VERB: 67
опилка, NOUN: 67
смородина, NOUN: 66
муж, NOUN: 66
назад, ADVB: 65
поливать, INFN: 65
забор, NOUN: 65
лучший, ADJF: 65
имею, VERB: 65
размер, NOUN: 65
новый, ADJF: 64
советую, VERB: 64
рука, NOUN: 64
инструмент, NOUN: 64
информация, NOUN: 63
между, PREP: 63
садовод, NOUN: 63
газон, NOUN: 63
никакой, ADJF: 63
сторона, NOUN: 62
вкусный, ADJF: 62
вырастить, INFN: 61
почему, ADVB: 61
гибрид, NOUN: 61
капуста, NOUN: 60
даю, VERB: 60
название, NOUN: 60
высота, NOUN: 60
тюльпан, NOUN: 59
перец, NOUN: 59
слышу, VERB: 59
мелкий, ADJF: 58
оно, NPRO: 58
последний, ADJF: 57
вижу, VERB: 57
кустик, NOUN: 57
препарат, NOUN: 56
кроме, PREP: 56
клубника, NOUN: 56
высаживаю, VERB: 56
порода, NOUN: 55
возможность, NOUN: 55
остался, VERB: 55
специальный, ADJF: 55
пластиковый, ADJF: 55
ствол, NOUN: 55
занимаюсь, VERB: 54
посмотрел, VERB: 54
пишу, VERB: 54
дело, NOUN: 54
период, NOUN: 54
средство, NOUN: 54
содержание, NOUN: 54
повод, NOUN: 54
мясо, NOUN: 53
таки, PRCL: 53
слой, NOUN: 53
отличный, ADJF: 53
нельзя, PRED: 53
общий, ADJF: 53
мотоблок, NOUN: 53
количество, NOUN: 52
часть, NOUN: 52
мульча, NOUN: 52
добавляю, VERB: 52
кустарник, NOUN: 51
боюсь, VERB: 51
зола, NOUN: 51
песок, NOUN: 51
сажать, INFN: 50
интересный, ADJF: 50
воздух, NOUN: 50
начал, VERB: 50
градус, NOUN: 50
прекрасный, ADJF: 50
рецепт, NOUN: 50
практически, ADVB: 50
подхожу, VERB: 50
оказался, VERB: 50
поделился, VERB: 50
слишком, ADVB: 49
поделиться, INFN: 49
форма, NOUN: 49
попробовать, INFN: 49
солнечный, ADJF: 49
птица, NOUN: 49
взять, INFN: 48
помощь, NOUN: 48
абрикос, NOUN: 48
влага, NOUN: 48
свежий, ADJF: 48
сначала, ADVB: 48
принцип, NOUN: 47
обработка, NOUN: 47
никогда, ADVB: 47
требую, VERB: 47
глубина, NOUN: 47
нормальный, ADJF: 47
опять, ADVB: 47
ранний, ADJF: 47
ставлю, VERB: 47
орех, NOUN: 47
штука, NOUN: 47
называюсь, VERB: 47
понравился, VERB: 47
говорю, VERB: 46
питание, NOUN: 46
груша, NOUN: 46
петуния, NOUN: 46
завишу, VERB: 46
давно, ADVB: 46
постоянный, ADJF: 46
процесс, NOUN: 45
цвету, VERB: 45
болезнь, NOUN: 45
иногда, ADVB: 45
улица, NOUN: 44
найти, INFN: 44
продажа, NOUN: 44
работаю, VERB: 44
яблоко, NOUN: 44
нея, NOUN: 44
пион, NOUN: 44
остальной, ADJF: 44
белый, ADJF: 44
ящик, NOUN: 43
снова, ADVB: 43
поставил, VERB: 43
огородник, NOUN: 43
живу, VERB: 43
картофель, NOUN: 43
брать, INFN: 43
бутылка, NOUN: 43
собираю, VERB: 43
помогаю, VERB: 42
чудо, NOUN: 42
почка, NOUN: 42
о, PREP: 42
затем, ADVB: 42
подобный, ADJF: 42
салат, NOUN: 42
согласен, ADJS: 42
здесь, ADVB: 42
использование, NOUN: 42
веточка, NOUN: 42
плодоношу, VERB: 42
погода, NOUN: 41
уважаемый, ADJF: 41
внимание, NOUN: 41
огурец, NOUN: 41
вместе, ADVB: 41
получить, INFN: 41
зимний, ADJF: 41
узнать, INFN: 41
плоскорез, NOUN: 41
знакомый, ADJF: 41
деревянный, ADJF: 41
хозяйство, NOUN: 41
солома, NOUN: 41
простой, ADJF: 40
байкал, NOUN: 40
увидел, VERB: 40
комнатный, ADJF: 40
середина, NOUN: 40
хвойный, ADJF: 40
дал, VERB: 40
гусь, NOUN: 40
литр, NOUN: 40
дачный, ADJF: 39
хранение, NOUN: 39
смотрю, VERB: 39
быстрее, COMP: 39
вещество, NOUN: 39
кг, NOUN: 39
окно, NOUN: 38
туда, ADVB: 38
листочек, NOUN: 38
выбор, NOUN: 38
состояние, NOUN: 38
начало, NOUN: 38
ведро, NOUN: 38
компост, NOUN: 37
здоровый, ADJF: 37
смысл, NOUN: 37
торф, NOUN: 37
читаю, VERB: 37
срок, NOUN: 37
ряд, NOUN: 37
верхний, ADJF: 37
элемент, NOUN: 37
жизнь, NOUN: 37
недавно, ADVB: 37
азот, NOUN: 37
перегной, NOUN: 37
всякий, ADJF: 37
ответ, NOUN: 36
менее, ADVB: 36
добавить, INFN: 36
получил, VERB: 36
статья, NOUN: 36
скважина, NOUN: 36
пересадить, INFN: 36
розовый, ADJF: 36
выкапываю, VERB: 36
беру, VERB: 36
пришёлся, VERB: 36
дачник, NOUN: 36
производитель, NOUN: 36
смесь, NOUN: 36
февраль, NOUN: 36
край, NOUN: 36
черешня, NOUN: 36
течение, NOUN: 35
компания, NOUN: 35
хранить, INFN: 35
сильный, ADJF: 35
помню, VERB: 35
старый, ADJF: 35
посев, NOUN: 35
форум, NOUN: 35
красота, NOUN: 35
кора, NOUN: 35
периодически, ADVB: 34
любой, ADJF: 34
проще, COMP: 34
зависимость, NOUN: 34
сутки, NOUN: 34
покупка, NOUN: 34
шифер, NOUN: 34
рынок, NOUN: 34
похож, ADJS: 34
вырастаю, VERB: 34
над, PREP: 34
чистый, ADJF: 34
родитель, NOUN: 34
химия, NOUN: 34
мнение, NOUN: 33
плодовый, ADJF: 33
клумба, NOUN: 33
влажность, NOUN: 33
сегодня, ADVB: 33
легче, COMP: 33
различный, ADJF: 33
кот, NOUN: 33
пакет, NOUN: 33
регион, NOUN: 33
вполне, ADVB: 33
развитие, NOUN: 33
взошёл, VERB: 33
бываю, VERB: 33
называю, VERB: 32
орхидея, NOUN: 32
сею, VERB: 32
всход, NOUN: 32
триммер, NOUN: 32
косточка, NOUN: 32
выбрать, INFN: 32
посажен, PRTS: 32
храню, VERB: 32
корневой, ADJF: 32
курочка, NOUN: 32
дальше, COMP: 32
шашлык, NOUN: 31
культиватор, NOUN: 31
обрезаю, VERB: 31
поверхность, NOUN: 31
касаюсь, VERB: 31
болею, VERB: 31
нашёл, VERB: 31
решение, NOUN: 31
фирма, NOUN: 31
состав, NOUN: 31
нужный, ADJF: 31
урожайность, NOUN: 31
никто, NPRO: 31
удобряю, VERB: 31
образ, NOUN: 31
понял, VERB: 31
доволен, ADJS: 31
деньги, NOUN: 30
прихожусь, VERB: 30
глициния, NOUN: 30
журнал, NOUN: 30
цыплёнок, NOUN: 30
причина, NOUN: 30
ночь, NOUN: 30
стаканчик, NOUN: 30
стараюсь, VERB: 30
качественный, ADJF: 30
дикий, ADJF: 30
форумчанин, NOUN: 30
можжевельник, NOUN: 30
описание, NOUN: 30
идея, NOUN: 29
обрабатываю, VERB: 29
крыша, NOUN: 29
момент, NOUN: 29
микроэлемент, NOUN: 29
древовидный, ADJF: 29
июнь, NOUN: 29
оставил, VERB: 29
остаток, NOUN: 29
расстояние, NOUN: 29
семечко, NOUN: 29
цветочек, NOUN: 29
сидерат, NOUN: 29
россия, NOUN: 29
устройство, NOUN: 29
чеснок, NOUN: 29
узнал, VERB: 29
цвести, INFN: 29
оставить, INFN: 29
печка, NOUN: 29
удовольствие, NOUN: 28
заказываю, VERB: 28
мощный, ADJF: 28
сотка, NOUN: 28
персик, NOUN: 28
рассказал, VERB: 28
планирую, VERB: 28
подвал, NOUN: 28
нижний, ADJF: 28
заболевание, NOUN: 28
посеял, VERB: 28
проверенный, PRTF: 28
земледелие, NOUN: 28
написал, VERB: 28
листва, NOUN: 28
ландыш, NOUN: 28
приобрести, INFN: 28
корешок, NOUN: 28
город, NOUN: 28
морковь, NOUN: 28
возраст, NOUN: 28
кальций, NOUN: 28
огромный, ADJF: 28
пять, NUMR: 27
поставить, INFN: 27
кой, ADJF: 27
радую, VERB: 27
диаметр, NOUN: 27
ветер, NOUN: 27
летний, ADJF: 27
сажу, VERB: 27
ем, VERB: 27
пересаживать, INFN: 27
собираюсь, VERB: 27
гибискус, NOUN: 27
грабли, NOUN: 27
пересаживаю, VERB: 27
побег, NOUN: 27
дорогой, ADJF: 27
ищу, VERB: 27
держу, VERB: 27
готовый, ADJF: 27
ты, NPRO: 27
собака, NOUN: 27
сентябрь, NOUN: 27
установить, INFN: 26
необходимый, ADJF: 26
технология, NOUN: 26
колодец, NOUN: 26
происхожу, VERB: 26
хризантема, NOUN: 26
жду, VERB: 26
труд, NOUN: 26
прочитал, VERB: 26
агрегат, NOUN: 26
садить, INFN: 26
лишний, ADJF: 26
становлюсь, VERB: 26
площадь, NOUN: 26
лежу, VERB: 26
декоративный, ADJF: 26
очередь, NOUN: 26
ежевика, NOUN: 26
питательный, ADJF: 26
дождь, NOUN: 26
поскольку, CONJ: 26
ухаживать, INFN: 26
ждать, INFN: 26
продавец, NOUN: 26
плитка, NOUN: 25
отверстие, NOUN: 25
вредный, ADJF: 25
зерно, NOUN: 25
масса, NOUN: 25
натуральный, ADJF: 25
доска, NOUN: 25
многолетний, ADJF: 25
идеальный, ADJF: 25
влажный, ADJF: 25
подоконник, NOUN: 25
верхушка, NOUN: 25
везде, ADVB: 25
однолетний, ADJF: 25
крыжовник, NOUN: 25
число, NOUN: 25
масло, NOUN: 25
выпуск, NOUN: 25
тяпка, NOUN: 25
климат, NOUN: 25
приготовление, NOUN: 25
ссылка, NOUN: 25
третий, ADJF: 25
далее, ADVB: 25
бархатцы, NOUN: 25
пл, NOUN: 25
ветвь, NOUN: 25
единственный, ADJF: 25
жена, NOUN: 24
сочный, ADJF: 24
дрова, NOUN: 24
октябрь, NOUN: 24
помещение, NOUN: 24
мама, NOUN: 24
прошу, VERB: 24
тыква, NOUN: 24
срез, NOUN: 24
точка, NOUN: 24
капельный, ADJF: 24
уровень, NOUN: 24
прошёл, VERB: 24
длина, NOUN: 24
природный, ADJF: 24
надеюсь, VERB: 24
иметь, INFN: 24
появляюсь, VERB: 24
штыковой, ADJF: 24
курица, NOUN: 24
опытный, ADJF: 24
маленький, ADJF: 24
размножаю, VERB: 24
стебель, NOUN: 24
держать, INFN: 24
следую, VERB: 24
свойство, NOUN: 24
порядок, NOUN: 24
глаз, NOUN: 24
собирать, INFN: 24
пример, NOUN: 23
имеюсь, VERB: 23
вишня, NOUN: 23
применять, INFN: 23
хорош, ADJS: 23
апрель, NOUN: 23
работать, INFN: 23
сила, NOUN: 23
вместо, PREP: 23
правильный, ADJF: 23
предлагаю, VERB: 23
квартира, NOUN: 23
весенний, ADJF: 23
клубень, NOUN: 23
росток, NOUN: 23
смотрюсь, VERB: 23
листик, NOUN: 23
удобрять, INFN: 23
беседка, NOUN: 23
добавил, VERB: 23
марганцовка, NOUN: 23
формирование, NOUN: 23
убираю, VERB: 23
покупной, ADJF: 23
мою, VERB: 23
пересадил, VERB: 23
являюсь, VERB: 23
насколько, ADVB: 23
собрал, VERB: 23
газонокосилка, NOUN: 23
особенность, NOUN: 23
холодильник, NOUN: 23
принц, NOUN: 22
кислотность, NOUN: 22
ребёнок, NOUN: 22
стоимость, NOUN: 22
шиповник, NOUN: 22
заказал, VERB: 22
продукт, NOUN: 22
осенний, ADJF: 22
местность, NOUN: 22
сок, NOUN: 22
опрыскивание, NOUN: 22
намного, ADVB: 22
бактерия, NOUN: 22
оставляю, VERB: 22
гладиолус, NOUN: 22
баклажан, NOUN: 22
область, NOUN: 22
отдельный, ADJF: 22
сетка, NOUN: 22
горшочек, NOUN: 22
зацвёл, VERB: 22
высаживать, INFN: 22
уборка, NOUN: 22
вверх, ADVB: 21
неприхотливый, ADJF: 21
бороться, INFN: 21
плохой, ADJF: 21
дешевле, COMP: 21
зачем, ADVB: 21
отношусь, VERB: 21
рыба, NOUN: 21
факт, NOUN: 21
китайский, ADJF: 21
необходимость, NOUN: 21
пятно, NOUN: 21
отличаюсь, VERB: 21
ирга, NOUN: 21
глина, NOUN: 21
получаю, VERB: 21
площадка, NOUN: 21
функция, NOUN: 21
подкармливаю, VERB: 21
вдруг, ADVB: 21
домик, NOUN: 21
вещь, NOUN: 21
приобрёл, VERB: 21
особый, ADJF: 21
полоса, NOUN: 21
природа, NOUN: 21
любитель, NOUN: 21
кислый, ADJF: 21
длинный, ADJF: 21
карликовый, ADJF: 21
плотный, ADJF: 21
полив, NOUN: 20
заметил, VERB: 20
ягодка, NOUN: 20
полный, ADJF: 20
посадочный, ADJF: 20
пора, NOUN: 20
заказать, INFN: 20
нуждаюсь, VERB: 20
бабушка, NOUN: 20
инкубатор, NOUN: 20
борьба, NOUN: 20
применяю, VERB: 20
фундамент, NOUN: 20
поздно, ADVB: 20
обработать, INFN: 20
лиана, NOUN: 20
электрический, ADJF: 20
забыл, VERB: 20
хозяин, NOUN: 20
размножение, NOUN: 20
зимую, VERB: 20
дорожка, NOUN: 20
сталкиваюсь, VERB: 20
заранее, ADVB: 20
установка, NOUN: 20
ситуация, NOUN: 20
накрываю, VERB: 20
угол, NOUN: 20
стол, NOUN: 20
андрей, NOUN: 20
инструкция, NOUN: 20
разница, NOUN: 20
посеять, INFN: 20
сравнение, NOUN: 20
кран, NOUN: 20
трактор, NOUN: 20
получение, NOUN: 20
сыпец, NOUN: 20
двигатель, NOUN: 19
плодоношение, NOUN: 19
справляюсь, VERB: 19
пр, ADJF: 19
насекомое, NOUN: 19
крайний, ADJF: 19
дополнительный, ADJF: 19
долгий, ADJF: 19
особо, ADVB: 19
зелень, NOUN: 19
заморозок, NOUN: 19
семья, NOUN: 19
гараж, NOUN: 19
посоветовать, INFN: 19
грецкий, ADJF: 19
выбрал, VERB: 19
слово, NOUN: 19
картинка, NOUN: 19
органический, ADJF: 19
фильтр, NOUN: 19
соседка, NOUN: 19
тонкий, ADJF: 19
горох, NOUN: 19
махровый, ADJF: 19
январь, NOUN: 19
вес, NOUN: 19
рано, ADVB: 19
питомник, NOUN: 19
сбор, NOUN: 19
обойтись, INFN: 19
сижу, VERB: 19
дно, NOUN: 19
наступление, NOUN: 19
картофельный, ADJF: 19
датчик, NOUN: 19
пытаюсь, VERB: 19
вар, NOUN: 19
жить, INFN: 19
подумал, VERB: 19
дать, INFN: 19
верх, NOUN: 19
источник, NOUN: 19
видео, NOUN: 18
погреб, NOUN: 18
кофе, NOUN: 18
снял, VERB: 18
успел, VERB: 18
хуже, COMP: 18
разрастаюсь, VERB: 18
позволяю, VERB: 18
ремонт, NOUN: 18
готовлю, VERB: 18
неприхотлив, ADJS: 18
удался, VERB: 18
полтора, NUMR: 18
начать, INFN: 18
укрытие, NOUN: 18
удобный, ADJF: 18
выход, NOUN: 18
фиолетовый, ADJF: 18
низкий, ADJF: 18
усилие, NOUN: 18
прихожу, VERB: 18
согласился, VERB: 18
ручка, NOUN: 18
специалист, NOUN: 18
желание, NOUN: 18
автоматика, NOUN: 18
форточка, NOUN: 18
двор, NOUN: 18
вносить, INFN: 18
конструкция, NOUN: 18
куча, NOUN: 18
дольше, COMP: 18
четыре, NUMR: 18
комбикорм, NOUN: 18
печь, NOUN: 18
окраска, NOUN: 18
автор, NOUN: 18
роса, NOUN: 18
борюсь, VERB: 18
прижился, VERB: 18
проверяю, VERB: 18
основа, NOUN: 18
понимаю, VERB: 18
алыча, NOUN: 18
фундук, NOUN: 18
мощность, NOUN: 17
бензиновый, ADJF: 17
июль, NOUN: 17
дороже, COMP: 17
корова, NOUN: 17
корнеплод, NOUN: 17
фитофтора, NOUN: 17
план, NOUN: 17
итог, NOUN: 17
делюсь, VERB: 17
успеваю, VERB: 17
содержу, VERB: 17
размножаюсь, VERB: 17
упаковка, NOUN: 17
тень, NOUN: 17
вырастил, VERB: 17
деревня, NOUN: 17
слабый, ADJF: 17
нежный, ADJF: 17
целый, ADJF: 17
оборудование, NOUN: 17
перестал, VERB: 17
юг, NOUN: 17
взгляд, NOUN: 17
настоящий, ADJF: 17
посмотреть, INFN: 17
быстрый, ADJF: 17
ничто, NPRO: 17
сохранить, INFN: 17
прополка, NOUN: 17
активный, ADJF: 17
ремонтантный, ADJF: 17
пырей, NOUN: 17
химический, ADJF: 17
начинаюсь, VERB: 17
клетка, NOUN: 17
почвопокровный, ADJF: 17
ручной, ADJF: 17
южный, ADJF: 17
торфяной, ADJF: 17
бутон, NOUN: 17
сделан, PRTS: 17
высадил, VERB: 17
собственный, ADJF: 17
появление, NOUN: 17
постройка, NOUN: 17
больше, COMP: 16
говоря, GRND: 16
рыхлый, ADJF: 16
польза, NOUN: 16
ставить, INFN: 16
слегка, ADVB: 16
зона, NOUN: 16
средний, ADJF: 16
обратиться, INFN: 16
отличие, NOUN: 16
ой, INTJ: 16
пакетик, NOUN: 16
обыкновенный, ADJF: 16
редька, NOUN: 16
схема, NOUN: 16
щель, NOUN: 16
называемый, PRTF: 16
земляника, NOUN: 16
побелка, NOUN: 16
пропорция, NOUN: 16
обожаю, VERB: 16
сосна, NOUN: 16
страна, NOUN: 16
естественный, ADJF: 16
реальный, ADJF: 16
секрет, NOUN: 16
дверь, NOUN: 16
готов, ADJS: 16
вывод, NOUN: 16
погиб, VERB: 16
гарантия, NOUN: 16
ассортимент, NOUN: 16
субстрат, NOUN: 16
требуюсь, VERB: 16
смог, VERB: 16
убрать, INFN: 16
газета, NOUN: 16
пруд, NOUN: 16
попал, VERB: 16
нож, NOUN: 16
успех, NOUN: 16
множество, NOUN: 16
определить, INFN: 16
помимо, PREP: 16
выкопать, INFN: 16
литровый, ADJF: 16
хранюсь, VERB: 16
мо, NOUN: 16
вовремя, ADVB: 16
сладкий, ADJF: 16
возникаю, VERB: 16
стакан, NOUN: 16
перекопка, NOUN: 16
трескаюсь, VERB: 16
удаляю, VERB: 16
замечательный, ADJF: 15
переживаю, VERB: 15
камень, NOUN: 15
территория, NOUN: 15
страшный, ADJF: 15
однажды, ADVB: 15
среди, PREP: 15
размножать, INFN: 15
спасти, INFN: 15
бороздка, NOUN: 15
заниматься, INFN: 15
приготовить, INFN: 15
контейнер, NOUN: 15
огородный, ADJF: 15
укрываю, VERB: 15
мягкий, ADJF: 15
выбираю, VERB: 15
наличие, NOUN: 15
водопровод, NOUN: 15
подстилка, NOUN: 15
жидкий, ADJF: 15
говорюсь, VERB: 15
встречаюсь, VERB: 15
коровяк, NOUN: 15
несколько, NUMR: 15
недостаток, NOUN: 15
вино, NOUN: 15
разумный, ADJF: 15
фермер, NOUN: 15
магний, NOUN: 15
купорос, NOUN: 15
москва, NOUN: 15
гость, NOUN: 15
корневище, NOUN: 15
создание, NOUN: 15
микроорганизм, NOUN: 15
прохладный, ADJF: 15
ботва, NOUN: 15
руб, NOUN: 15
розетка, NOUN: 15
прочий, ADJF: 15
аромат, NOUN: 15
русский, ADJF: 15
умный, ADJF: 15
приятный, ADJF: 15
ямка, NOUN: 15
возник, VERB: 15
осень, NOUN: 15
заказ, NOUN: 15
спросить, INFN: 15
потомство, NOUN: 15
лейка, NOUN: 15
горчица, NOUN: 15
отзыв, NOUN: 15
кирпич, NOUN: 15
зову, VERB: 15
электричество, NOUN: 15
лещина, NOUN: 15
пользоваться, INFN: 15
сожаление, NOUN: 15
делаюсь, VERB: 15
крепкий, ADJF: 14
поросёнок, NOUN: 14
заметка, NOUN: 14
благодарен, ADJS: 14
опадаю, VERB: 14
семь, NUMR: 14
минеральный, ADJF: 14
применение, NOUN: 14
коллекция, NOUN: 14
длительный, ADJF: 14
глубокий, ADJF: 14
деление, NOUN: 14
основание, NOUN: 14
чистить, INFN: 14
показал, VERB: 14
крышка, NOUN: 14
зараза, NOUN: 14
гряда, NOUN: 14
порог, NOUN: 14
разведение, NOUN: 14
снимать, INFN: 14
второй, ADJF: 14
несусь, VERB: 14
детство, NOUN: 14
режим, NOUN: 14
ножка, NOUN: 14
десять, NUMR: 14
большинство, NOUN: 14
вегетация, NOUN: 14
сантиметр, NOUN: 14
батарея, NOUN: 14
положил, VERB: 14
цветочный, ADJF: 14
подобрать, INFN: 14
медный, ADJF: 14
перезимовал, VERB: 14
холодный, ADJF: 14
стою, VERB: 14
морковка, NOUN: 14
район, NOUN: 14
поросль, NOUN: 14
тьфу, INTJ: 14
автоматический, ADJF: 14
рубль, NOUN: 14
яркий, ADJF: 14
неплохой, ADJF: 14
главный, ADJF: 14
собрать, INFN: 14
ребята, NOUN: 14
огурчик, NOUN: 14
гриб, NOUN: 14
металлический, ADJF: 14
ноябрь, NOUN: 14
выкапывать, INFN: 14
отдых, NOUN: 14
норма, NOUN: 14
необычный, ADJF: 14
всхожесть, NOUN: 14
защита, NOUN: 14
обрезка, NOUN: 14
здоровье, NOUN: 14
достался, VERB: 14
минимальный, ADJF: 14
захотел, VERB: 14
кукуруза, NOUN: 14
история, NOUN: 14
плодоносить, INFN: 14
кормление, NOUN: 14
перепад, NOUN: 14
предпочитаю, VERB: 14
доставка, NOUN: 14
встречаю, VERB: 14
менять, INFN: 14
влияю, VERB: 14
витамин, NOUN: 14
приехал, VERB: 14
случился, VERB: 14
меняю, VERB: 14
универсальный, ADJF: 14
весьма, ADVB: 13
расцветка, NOUN: 13
прошлогодний, ADJF: 13
эксперимент, NOUN: 13
мастиф, NOUN: 13
час, NOUN: 13
чувствую, VERB: 13
внесение, NOUN: 13
опыление, NOUN: 13
ромашка, NOUN: 13
определиться, INFN: 13
широкий, ADJF: 13
серый, ADJF: 13
холод, NOUN: 13
снимаю, VERB: 13
местный, ADJF: 13
лампа, NOUN: 13
материнский, ADJF: 13
встал, VERB: 13
искать, INFN: 13
набор, NOUN: 13
улучшение, NOUN: 13
вышел, VERB: 13
подошёл, VERB: 13
жидкость, NOUN: 13
станция, NOUN: 13
концентрат, NOUN: 13
мочевина, NOUN: 13
строительство, NOUN: 13
современный, ADJF: 13
многолетник, NOUN: 13
кормлю, VERB: 13
север, NOUN: 13
порадовал, VERB: 13
эффект, NOUN: 13
наседка, NOUN: 13
сосенка, NOUN: 13
супер, ADJF: 13
мера, NOUN: 13
народ, NOUN: 13
заинтересовал, VERB: 13
гербицид, NOUN: 13
гр, NOUN: 13
затрата, NOUN: 13
подкормить, INFN: 13
сей, ADJF: 13
давать, INFN: 13
повышение, NOUN: 13
прибор, NOUN: 13
нехватка, NOUN: 13
цепь, NOUN: 12
энергия, NOUN: 12
блюдо, NOUN: 12
житель, NOUN: 12
мечтаю, VERB: 12
засуха, NOUN: 12
проливаю, VERB: 12
вхожу, VERB: 12
секатор, NOUN: 12
таблетка, NOUN: 12
запас, NOUN: 12
обрабатывать, INFN: 12
ком, NOUN: 12
полутень, NOUN: 12
удалять, INFN: 12
кассета, NOUN: 12
сохраняю, VERB: 12
шикарный, ADJF: 12
комплекс, NOUN: 12
метод, NOUN: 12
книга, NOUN: 12
знание, NOUN: 12
мангал, NOUN: 12
ошибка, NOUN: 12
остановился, VERB: 12
толщина, NOUN: 12
комната, NOUN: 12
цветник, NOUN: 12
компостный, ADJF: 12
трогаю, VERB: 12
вывел, VERB: 12
убрал, VERB: 12
сохну, VERB: 12
коричневый, ADJF: 12
состою, VERB: 12
вишу, VERB: 12
баночка, NOUN: 12
иной, ADJF: 12
светлана, NOUN: 12
колба, NOUN: 12
собрался, VERB: 12
кормушка, NOUN: 12
выкопал, VERB: 12
вечер, NOUN: 12
вначале, ADVB: 12
созревание, NOUN: 12
попался, VERB: 12
разнообразие, NOUN: 12
вчера, ADVB: 12
вниз, ADVB: 12
